Dawn Primarolo, Second Deputy Chairman of Ways and Means
John Bercow, Speaker of the House of Commons
Gordon Birtwistle, Liberal Democrat
David Ruffley, Conservative
Julian Huppert, Liberal Democrat
Jennifer Willott, Liberal Democrat
Stephen Dorrell, Conservative
Mark Hunter, Liberal Democrat
Lindsay Hoyle, Chairman of Ways and Means
Robert Ainsworth, Labour
Simon Reevell, Conservative
James Cunningham, Labour
Chris Kelly, Conservative
Angie Bray, Conservative
Michael Thornton, Liberal Democrat
Andrew Love, Labour
Nick de Bois, Conservative
Eleanor Laing, Conservative
Christopher Grayling, Conservative
Jessica Lee, Conservative
Michelle Gildernew, Sinn Féin
John Durkan, Social Democratic & Labour Party
Martin Caton, Labour
Linda Riordan, Labour
Robert Stunell, Liberal Democrat
William Clappison, Conservative
Frank Dobson, Labour
Lynne Featherstone, Liberal Democrat
Malcolm Rifkind, Conservative
George Mudie, Labour
Gregory Mulholland, Liberal Democrat
Vaz , Labour
Elizabeth Kendall, Labour
Norman Baker, Liberal Democrat
Peter Tapsell, Conservative
Timothy Loughton, Conservative
John Leech, Liberal Democrat
Joseph Meale, Labour
Annette Brooke, Liberal Democrat
Arthur Soames, Conservative
Francie Molloy, Sinn Féin
Gregory Knight, Conservative
Conor Murphy, Sinn Féin
Ian Junior, Democratic Unionist
Nicholas Harvey, Liberal Democrat
Robert Walter, Conservative
Sylvia Hermon, Independent
Natascha Engel, Labour
William Wiggin, Conservative
Stephen O'Brien, Conservative
Michael Meacher, Labour
Alison Seabeck, Labour
Michael Hancock, Liberal Democrat
Ian Swales, Liberal Democrat
Nicholas Hurd, Conservative
Mark Hoban, Conservative
Hazel Blears, Labour
David Blunkett, Labour
Nicholas Clegg, Liberal Democrat
Robert McCrea, Democratic Unionist
James Paice, Conservative
Andrew Robathan, Conservative
Laura Sandys, Conservative
Donald Foster, Liberal Democrat
Hugh Robertson, Conservative
Stephen Gilbert, Liberal Democrat
David Watts, Labour
Andrew George, Liberal Democrat
Margaret Coffey, Labour
Paul Burstow, Liberal Democrat
Siân James, Labour
Jeremy Browne, Liberal Democrat
David Wright, Labour
Anne McIntosh, Conservative
Steven Webb, Liberal Democrat
John Stanley, Conservative
Adrian Sanders, Liberal Democrat
John Cable, Liberal Democrat
Catharine Hoey, Labour
Tessa Munt, Liberal Democrat
Rosemary Cooper, Labour
Pat Doherty, Sinn Féin
Timothy Farron, Liberal Democrat
Thomas Cunningham, Labour
David Laws, Liberal Democrat
David Willetts, Conservative
Michael Penning, Conservative
Francis Maude, Conservative
Mike Weatherley, Conservative
Lee Scott, Conservative
Benedict Gummer, Conservative
Eric Ollerenshaw, Conservative
Peter Luff, Conservative
John Carswell, UK Independence Party
Therese Coffey, Conservative
David Hamilton, Labour
Mark Reckless, Conservative
James Dobbin, Labour
Patrick Mercer, Conservative
Paul Goggins, Labour
David Miliband, Labour
Christopher Huhne, Liberal Democrat
James McGuinness, Sinn Féin
Alun Michael, Labour
Malcolm Wicks, Labour
Anthony Lloyd, Labour
Stuart Bell, Labour
Denis MacShane, Independent
Louise Bagshawe, Conservative
Marsha Singh, Labour
David Keen, Labour
Peter Soulsby, Labour
John Cairns, Labour
Eric Illsley, Independent
Gerard Adams, Sinn Féin
Phillip Woolas, Labour
Jane Winterton, Conservative
Michael Clapham, Labour
Constance Cryer, Labour
Edward O'Hara, Labour
Bridget Prentice, Labour
Harry Cohen, Labour
Gillian Merron, Labour
Peter Kilfoyle, Labour
Nicholas Winterton, Conservative
